Time,ref,est
1662483308.9401865,0.004077714867889881,0.047129303216934204
1662483308.9962234,0.004111140966415405,0.043424010276794434
1662483309.0511732,0.003452105214819312,0.04146727919578552
1662483309.1061845,0.003749263472855091,0.049349647015333176
1662483309.1611216,0.0038973381742835045,0.04894626885652542
1662483309.2162223,0.004609893076121807,0.03599691763520241
1662483309.2711475,0.005200445186346769,0.07269539684057236
1662483309.3271918,0.00307375262491405,0.04371356964111328
1662483309.382349,0.004410747438669205,0.036411501467227936
1662483309.437158,0.004032133147120476,0.05638456717133522
1662483309.493231,0.00304258125834167,0.038008496165275574
1662483309.548235,0.003059233073145151,0.052566636353731155
1662483309.603239,0.004218175075948238,0.05187783017754555
1662483309.6592731,0.0031098651234060526,0.0628615990281105
1662483309.879254,0.0032251535449177027,0.030672810971736908
1662483310.0992908,0.004279518499970436,0.05554714798927307
1662483310.3192627,0.004106903448700905,0.04764119163155556
1662483310.374259,0.0031610180158168077,0.04681084677577019
1662483310.4293373,0.005214876029640436,0.041273847222328186
1662483310.5943096,0.003756485413759947,0.03947693109512329
1662483310.8693676,0.0028792310040444136,0.04264143481850624
1662483311.0893352,0.004171004518866539,0.041646558791399
1662483311.1443758,0.003680963534861803,0.049716461449861526
1662483311.1993718,0.004680203273892403,0.04606837406754494
1662483311.3644454,0.004162432625889778,0.04299173876643181
1662483311.5843658,0.004325497895479202,0.03634604066610336
1662483311.8594544,0.003815717762336135,0.05708281323313713
1662483312.079481,0.004335397854447365,0.04381677508354187
1662483312.1345146,0.002874994184821844,0.05571522191166878
1662483312.1895084,0.004017946310341358,0.05489785224199295
1662483312.244449,0.004060075618326664,0.042182035744190216
1662483312.299518,0.004091681446880102,0.042627282440662384
1662483312.3545258,0.0035156570374965668,0.04358028993010521
1662483312.409635,0.004235289990901947,0.04564022645354271
1662483312.4645083,0.0036900120321661234,0.04255238547921181
1662483312.519486,0.0025358558632433414,0.05023542419075966
1662483312.5745609,0.0038291700184345245,0.04619516432285309
1662483312.6295211,0.0028579263016581535,0.03866486996412277
1662483312.6845858,0.003151791403070092,0.060654234141111374
1662483312.7395184,0.002205357886850834,0.05837314575910568
1662483312.7944982,0.002879299456253648,0.058313582092523575
1662483312.849552,0.001955494750291109,0.04322527348995209
1662483312.9045532,0.0022468562237918377,0.03696761652827263
1662483312.9595916,0.004320111591368914,0.04357026517391205
1662483313.0146165,0.0035877632908523083,0.032776977866888046
1662483313.069544,0.0029427683912217617,0.04297935217618942
1662483313.1246686,0.0018937567947432399,0.0479348786175251
1662483313.1796358,0.003236600896343589,0.045486897230148315
1662483313.2345996,0.001648381003178656,0.04322822019457817
1662483313.2896266,0.0025461562909185886,0.0616166777908802
1662483313.3445988,0.0034263627603650093,0.05422024801373482
1662483313.3996017,0.0030062440782785416,0.04412815347313881
1662483313.4546504,0.0029782874044030905,0.06076156347990036
1662483313.509587,0.0021245621610432863,0.0427192822098732
1662483313.5646029,0.0014964161673560739,0.0444171205163002
1662483313.6196325,0.001142700668424368,0.051797036081552505
1662483313.6746013,0.004430556204169989,0.041500892490148544
1662483313.7295873,0.0051360963843762875,0.041384126991033554
1662483313.7847369,0.005020990967750549,0.06281737238168716
1662483313.8397076,0.004484265577048063,0.03599986433982849
1662483313.894589,0.001764100743457675,0.057312216609716415
1662483313.9496322,0.0012448744382709265,0.05030914023518562
1662483314.114741,0.0021855647210031748,0.04659559577703476
1662483314.3897495,0.004055183380842209,0.042314134538173676
1662483314.609671,0.00369392242282629,0.05572111904621124
1662483314.664643,0.0036620323080569506,0.05549171194434166
1662483314.7196598,0.002438586438074708,0.028617002069950104
1662483314.7747307,0.006700752768665552,0.050483111292123795
1662483314.8297343,0.007826111279428005,0.048651400953531265
1662483314.8847232,0.006110338494181633,0.05018116906285286
1662483314.939731,0.005201409105211496,0.048698581755161285
1662483314.9947324,0.0036373226903378963,0.06840568035840988
1662483315.0497396,0.002076881704851985,0.05313514173030853
1662483315.2698236,0.006511207204312086,0.058088306337594986
1662483315.4898214,0.004531193058937788,0.05420078709721565
1662483315.5448132,0.004303628578782082,0.04333791136741638
1662483315.5999265,0.005814990494400263,0.03291910141706467
1662483315.6548235,0.004787743091583252,0.05016878619790077
1662483315.7098353,0.005240451078861952,0.037822138518095016
1662483315.764837,0.0043723988346755505,0.06922069191932678
1662483315.81985,0.0043490235693752766,0.0522133894264698
1662483315.8748908,0.002545361639931798,0.05428276211023331
